homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
17,10,25,9,18,27,40,0,0,0,0,0,17,17,3,220,3,8,116,34,1805,3,5,0,46,0,4,0,2,0,10,2,5,36
18,15,24,7,20,20,46,0,0,0,0,0,17,17,3,2210,3,8,117,34,1814,3,6,0,50,0,6,0,2,0,6,5,3,43
19,8,17,16,13,27,40,0,0,0,0,0,17,16,5,10121,5,3,118,34,1815,5,4,0,33,0,6,0,1,0,9,4,8,26
20,12,26,11,12,30,60,0,0,0,0,0,17,17,3,22020,3,11,119,34,1816,3,2,0,43,0,4,0,2,0,13,2,2,43
19,13,20,13,19,34,33,0,0,0,0,0,17,17,3,11200,3,8,120,34,110321,3,2,0,42,0,4,0,2,0,8,7,5,40
22,22,19,15,18,29,26,0,0,0,0,0,17,17,5,1111,5,6,121,34,111273,5,3,0,38,0,6,0,1,0,8,6,5,40
14,20,28,4,19,26,33,0,0,0,0,0,17,17,7,2011,7,12,122,34,111276,7,5,0,56,0,4,0,1,0,8,4,1,36
26,14,28,14,28,28,26,0,0,0,0,0,17,17,3,10111,3,6,123,34,111659,3,3,0,39,0,6,0,1,0,7,7,5,40
16,7,34,2,21,17,73,0,0,0,0,0,16,17,6,22112,6,13,124,34,111817,6,8,0,69,0,2,0,0,0,5,4,2,76
16,23,24,6,18,27,66,0,0,0,0,0,17,17,8,21202,8,9,125,34,131447,8,5,0,51,0,4,0,0,0,7,5,4,40
16,1,53,1,46,16,86,0,0,0,0,0,19,19,0,22122,0,14,126,34,21,0,11,0,82,0,1,0,0,0,1,5,2,70
19,2,44,4,27,32,100,0,0,0,0,0,19,19,1,22222,1,11,127,34,22,3,6,0,57,0,3,0,0,0,8,3,3,73
26,10,29,10,26,31,6,0,0,0,0,0,19,19,3,100,3,7,128,34,23,3,6,0,45,0,7,0,2,0,8,3,3,26
26,5,32,5,17,27,66,0,0,0,0,0,19,19,2,22120,2,9,129,34,25,2,7,0,55,0,5,0,2,0,6,4,3,50
22,6,36,2,36,21,40,0,0,0,0,1,19,19,1,12101,1,10,130,34,32,1,9,0,69,0,3,0,1,1,0,8,4,53
27,16,35,9,29,26,66,0,0,0,0,0,19,19,3,10222,3,7,131,34,36,3,7,0,50,0,8,0,0,0,4,6,2,46
26,13,21,8,33,31,60,0,0,0,0,0,19,19,3,21112,3,5,132,34,38,3,9,0,51,0,6,0,0,0,5,3,6,70
33,14,16,18,17,34,33,0,0,0,0,0,20,19,4,1102,4,3,133,34,160,4,3,0,25,0,10,0,0,0,11,3,4,26
18,9,24,6,31,25,40,0,0,0,0,0,19,19,2,10121,2,6,134,34,169,2,8,0,52,0,3,0,1,0,7,2,8,36
30,8,27,11,29,24,33,0,0,0,0,0,19,19,3,10012,3,3,135,34,175,3,8,0,43,0,7,0,0,0,6,3,7,20
41,8,24,17,25,39,46,0,0,0,0,0,20,19,4,12200,4,4,136,34,576,4,2,0,25,0,11,0,2,0,10,5,2,30
22,7,41,3,27,24,60,0,0,0,0,0,19,19,1,12112,1,10,137,34,1824,1,7,0,60,0,3,0,0,0,5,5,4,60
23,4,18,13,17,28,40,0,0,0,0,0,19,19,3,11102,3,5,138,34,1831,3,5,0,40,0,6,0,0,0,8,4,6,56
36,12,25,15,21,32,13,0,0,0,0,0,19,19,5,110,5,4,139,34,10029,5,3,0,32,0,8,0,2,0,8,6,5,23
20,15,18,12,17,31,6,0,0,0,0,0,19,19,3,10000,3,6,140,34,100409,3,5,0,43,0,6,0,2,0,7,5,5,36
